id      a    b    c    d    e    f    g    i    j    k    l    m    n    o    p    q    group
1       0    1    1    0    1    1    0    0    0    0    0    0    1    1    1    1    1
2       0    1    0    1    1    1    0    0    0    0    0    1    1    1    0    1    0
3       1    1    1    0    0    0    1    1    1    0    1    0    0    0    1    1    1
4       1    1    1    0    0    0    1    1    1    0    0    0    0    0    1    1    1
5       1    0    1    0    0    0    1    1    1    1    0    0    0    0    1    1    1
6       1    0    1    0    0    0    1    1    1    0    1    0    0    0    1    1    1
7       1    1    1    0    0    0    1    1    1    0    1    0    0    0    1    1    1
8       1    0    0    1    1    0    1    1    1    0    0    1    1    1    0    1    0
9       1    1    1    0    0    0    1    1    1    0    1    0    0    0    1    1    1
10      0    1    0    1    1    1    0    0    0    0    0    1    1    1    0    0    0
11      1    1    1    0    0    0    1    1    1    1    0    0    1    0    1    1    1
12      0    1    0    1    1    1    0    0    0    0    0    1    1    1    0    1    0
13      1    1    1    0    0    0    1    1    1    0    0    0    0    0    1    1    1
14      0    1    0    1    1    1    0    0    0    0    0    1    1    1    0    0    0
15      1    1    0    1    1    1    0    0    0    0    0    0    1    1    0    1    0
16      0    1    0    1    1    1    0    0    0    1    0    1    1    1    0    0    0
17      1    0    1    0    0    0    1    1    1    1    1    0    1    0    1    1    1
18      1    1    0    1    1    1    0    0    0    1    0    1    1    1    0    0    0
19      0    1    0    1    1    1    0    0    0    1    1    1    1    1    0    0    0
20      0    1    0    1    1    1    0    0    0    1    1    1    1    1    0    1    0
