id      a    b    c    d    e    f    g    i    j    k    l    m    n    o    p    q    group
1       0    1    1    0    1    1    0    0    0    0    0    0    1    1    1    1    1
2       0    1    0    1    1    1    0    0    0    0    0    1    1    1    0    1    1
3       1    1    1    0    0    0    1    1    1    0    1    0    0    0    1    1    0
4       1    1    1    0    0    0    1    1    1    0    0    0    0    0    1    1    0
5       1    0    1    0    0    0    1    1    1    1    0    0    0    0    1    1    0
6       1    0    1    0    0    0    1    1    1    0    1    0    0    0    1    1    0
7       1    1    1    0    0    0    1    1    1    0    1    0    0    0    1    1    0
8       1    0    0    1    1    0    1    1    1    0    0    1    1    1    0    1    1
9       1    1    1    0    0    0    1    1    1    0    1    0    0    0    1    1    0
10      0    1    0    1    1    1    0    0    0    0    0    1    1    1    0    0    1
11      1    1    1    0    0    0    1    1    1    1    0    0    1    0    1    1    0
12      0    1    0    1    1    1    0    0    0    0    0    1    1    1    0    1    1
13      1    1    1    0    0    0    1    1    1    0    0    0    0    0    1    1    0
14      0    1    0    1    1    1    0    0    0    0    0    1    1    1    0    0    1
15      1    1    0    1    1    1    0    0    0    0    0    0    1    1    0    1    1
16      0    1    0    1    1    1    0    0    0    1    0    1    1    1    0    0    1
17      1    0    1    0    0    0    1    1    1    1    1    0    1    0    1    1    0
18      1    1    0    1    1    1    0    0    0    1    0    1    1    1    0    0    1
19      0    1    0    1    1    1    0    0    0    1    1    1    1    1    0    0    1
20      0    1    0    1    1    1    0    0    0    1    1    1    1    1    0    1    1
