id      alcohol    malic_acid    ash    alcalinity_of_ash    magnesium    total_phenols    flavanoids    nonflavanoid_phenols    proanthocyanins    color_intensity    hue    OD315_of_diluted_wines    proline    group
1       14.23      1.71          2.43   15.6                 127.0        2.8              3.06          0.28                    2.29               5.64               1.04   3.92                      1065.0     1
2       13.2       1.78          2.14   11.2                 100.0        2.65             2.76          0.26                    1.28               4.38               1.05   3.4                       1050.0     1
3       13.16      2.36          2.67   18.6                 101.0        2.8              3.24          0.3                     2.81               5.68               1.03   3.17                      1185.0     1
4       14.37      1.95          2.5    16.8                 113.0        3.85             3.49          0.24                    2.18               7.8                0.86   3.45                      1480.0     1
5       13.24      2.59          2.87   21.0                 118.0        2.8              2.69          0.39                    1.82               4.32               1.04   2.93                      735.0      1
6       14.2       1.76          2.45   15.2                 112.0        3.27             3.39          0.34                    1.97               6.75               1.05   2.85                      1450.0     1
7       13.05      5.8           2.13   21.5                 86.0         2.62             2.65          0.3                     2.01               2.6                0.73   3.1                       380.0      0
8       11.87      4.31          2.39   21.0                 82.0         2.86             3.03          0.21                    2.91               2.8                0.75   3.64                      380.0      0
9       12.07      2.16          2.17   21.0                 85.0         2.6              2.65          0.37                    1.35               2.76               0.86   3.28                      378.0      0
10      12.43      1.53          2.29   21.5                 86.0         2.74             3.15          0.39                    1.77               3.94               0.69   2.84                      352.0      0
11      11.79      2.13          2.78   28.5                 92.0         2.13             2.24          0.58                    1.76               3.0                0.97   2.44                      466.0      0
12      12.37      1.63          2.3    24.5                 88.0         2.22             2.45          0.4                     1.9                2.12               0.89   2.78                      342.0      0
13      12.04      4.3           2.38   22.0                 80.0         2.1              1.75          0.42                    1.35               2.6                0.79   2.57                      580.0      0
14      12.77      2.39          2.28   19.5                 86.0         1.39             0.51          0.48                    0.64               9.899999           0.57   1.63                      470.0      1
15      14.16      2.51          2.48   20.0                 91.0         1.68             0.7           0.44                    1.24               9.7                0.62   1.71                      660.0      1
16      13.71      5.65          2.45   20.5                 95.0         1.68             0.61          0.52                    1.06               7.7                0.64   1.74                      740.0      1
17      13.4       3.91          2.48   23.0                 102.0        1.8              0.75          0.43                    1.41               7.3                0.7    1.56                      750.0      1
18      13.27      4.28          2.26   20.0                 120.0        1.59             0.69          0.43                    1.35               10.2               0.59   1.56                      835.0      1
19      13.17      2.59          2.37   20.0                 120.0        1.65             0.68          0.53                    1.46               9.3                0.6    1.62                      840.0      1
20      14.13      4.1           2.74   24.5                 96.0         2.05             0.76          0.56                    1.35               9.2                0.61   1.6                       560.0      1
